,-3671.9500000000003
Motor&Fuel7Brch-18,0.05
Others14Brch-25,0.05
Motor&Fuel7Brch-283,0.060000000000000005
Others14Brch-36,0.060000000000000005
Others14Brch-62,0.07
Motor&Fuel7Brch-293,0.08
BCARD37Brch-54,0.09
Others6Brch-3,0.09
Motor&Fuel7Brch-215,0.09
Motor&Fuel1Brch-6,0.16
Others11Brch-853,1.4
Others11Brch-819,1.9
Motor&Fuel7Brch-116,2.56
Others9Brch-426,3.3
Others9Brch-713,3.4
Others9Brch-985,3.5
Motor&Fuel7Brch-128,3.67
Others9Brch-857,3.8
Motor&Fuel7Brch-372,4.0
Others9Brch-562,4.52
Others9Brch-20,4.6
Others9Brch-1094,5.0
Others9Brch-315,5.5
Food&Beverage13Brch-100,5.91
Others9Brch-1616,6.300000000000001
Food&Beverage13Brch-106,6.5
Others9Brch-12,7.0
Food&Beverage1Brch-7,7.430000000000001
Food&Beverage13Brch-134,7.5
Others9Brch-183,7.9
BCARD59Brch-569,8.2
Food&Beverage13Brch-167,8.6
Food&Beverage13Brch-172,8.6
Motor&Fuel7Brch-321,9.0
Motor&Fuel7Brch-342,9.42
Others9Brch-331,9.58
Others11Brch-182,9.9
BCARD37Brch-52,9.91
Motor&Fuel7Brch-291,10.0
Motor&Fuel7Brch-8,10.0
Motor&Fuel7Brch-377,10.0
BCARD37Brch-25,10.01
Motor&Fuel7Brch-454,10.01
Motor&Fuel7Brch-319,10.26
Motor&Fuel7Brch-399,10.48
Motor&Fuel7Brch-34,11.0
Others9Brch-418,11.19
Others9Brch-478,11.25
Motor&Fuel7Brch-282,11.76
Others9Brch-497,12.16
Food&Beverage13Brch-119,12.81
Others9Brch-1379,13.39
Others11Brch-855,13.6
Others11Brch-826,13.6
Others9Brch-180,13.6
Food&Beverage13Brch-92,13.81
Motor&Fuel7Brch-129,14.29
Motor&Fuel7Brch-115,14.309999999999999
Others9Brch-1294,14.6
Motor&Fuel7Brch-285,14.65
Food&Beverage13Brch-121,14.85
Others9Brch-965,15.0
Others9Brch-245,15.079999999999998
Others11Brch-671,15.5
Others9Brch-986,16.46
Others9Brch-644,16.8
Food&Beverage13Brch-151,17.0
Others9Brch-1549,17.369999999999997
Motor&Fuel7Brch-437,17.68
Others9Brch-108,18.0
Motor&Fuel7Brch-144,18.01
Food&Beverage13Brch-94,18.700000000000003
Others11Brch-733,19.6
Others9Brch-1586,19.7
BCARD37Brch-89,19.8
Others9Brch-365,19.8
BCARD37Brch-32,19.9
BCARD37Brch-100,19.9
BCARD37Brch-5,19.919999999999998
Motor&Fuel7Brch-252,20.51
Motor&Fuel7Brch-326,20.93
Motor&Fuel7Brch-397,22.5
Others9Brch-1274,22.5
Food&Beverage13Brch-155,22.6
Motor&Fuel7Brch-263,23.0
Motor&Fuel7Brch-229,23.25
Others9Brch-1043,23.26
Motor&Fuel7Brch-273,23.54
Motor&Fuel7Brch-389,23.81
Motor&Fuel7Brch-103,23.82
Motor&Fuel7Brch-355,23.82
Motor&Fuel7Brch-160,24.07
BCARD3Brch-3,24.9
Others9Brch-851,25.15
Motor&Fuel7Brch-40,25.650000000000002
Others11Brch-876,25.900000000000002
Motor&Fuel7Brch-10,26.01
Others9Brch-749,26.4
Others11Brch-774,26.5
Food&Beverage13Brch-76,27.6
Motor&Fuel7Brch-78,28.21
Motor&Fuel7Brch-109,28.540000000000006
Motor&Fuel7Brch-193,28.57
Motor&Fuel7Brch-124,28.57
Food&Beverage13Brch-115,29.0
Food&Beverage13Brch-150,29.2
BCARD37Brch-21,29.7
BCARD37Brch-38,29.94
Food&Beverage13Brch-78,30.0
Motor&Fuel7Brch-312,30.0
Food&Beverage4Brch-12,30.8
Food&Beverage13Brch-128,31.1
Motor&Fuel7Brch-102,31.24
Food&Beverage13Brch-6,31.500000000000004
Food&Beverage3Brch-30,31.72
Motor&Fuel7Brch-150,32.1
Food&Beverage13Brch-7,32.5
Food&Beverage13Brch-144,33.1
Food&Beverage14Brch-3,33.949999999999996
Food&Beverage13Brch-21,34.2
Motor&Fuel7Brch-64,34.309999999999995
Others9Brch-124,35.81
Others11Brch-867,36.8
Others9Brch-76,37.29
Food&Beverage13Brch-132,37.6
Others9Brch-582,38.5
BCARD3Brch-10,39.8
Motor&Fuel7Brch-234,40.04
Motor&Fuel7Brch-71,42.39
BCARD40Brch-5,42.46
Others11Brch-816,42.6
BCARD59Brch-587,42.7
Others9Brch-155,42.9
Motor&Fuel7Brch-180,43.150000000000006
Others9Brch-1533,43.199999999999996
Food&Beverage13Brch-129,43.8
Food&Beverage13Brch-50,44.57
Food&Beverage13Brch-97,45.4
Motor&Fuel7Brch-287,46.02
Food&Beverage13Brch-101,46.3
Motor&Fuel7Brch-268,46.35
Motor&Fuel7Brch-433,47.35
BCARD37Brch-75,47.73
Others9Brch-1053,48.0
BCARD54Brch-8,48.5
Motor&Fuel7Brch-295,48.81999999999999
Food&Beverage13Brch-86,48.900000000000006
Food&Beverage13Brch-123,49.5
BCARD44Brch-17,49.92
Motor&Fuel7Brch-404,50.0
Motor&Fuel7Brch-38,50.0
Motor&Fuel7Brch-328,50.01
BCARD38Brch-18,50.02
Motor&Fuel7Brch-279,50.03
Food&Beverage13Brch-145,50.6
Food&Beverage13Brch-125,50.7
Motor&Fuel7Brch-82,51.0
Food&Beverage13Brch-169,51.5
Food&Beverage13Brch-140,51.6
Others11Brch-437,52.0
Motor&Fuel7Brch-35,52.04
Food&Beverage13Brch-96,52.5
Food&Beverage13Brch-136,52.5
Motor&Fuel7Brch-331,52.53
Food&Beverage13Brch-59,53.199999999999996
Food&Beverage13Brch-163,53.2
Food&Beverage13Brch-131,53.5
